Mauritania,2022-01-04,63849
Cayman Islands,2022-01-17,184
Oman,2022-01-22,14822
Hungary,2022-01-10,25552
Lithuania,2022-01-12,14139
Maldives,2022-02-15,2140
Maldives,2022-02-05,2571
Bahamas,2022-01-05,618
Luxembourg,2022-02-08,2280
Romania,2022-02-07,13679
Myanmar,2022-02-09,117521
Poland,2022-01-12,164695
Belize,2022-01-12,685
Honduras,2022-01-25,33666
European Union,2022-01-07,2778839
Scotland,2022-01-27,9657
Ecuador,2022-01-21,85846
Argentina,2022-01-20,378430
Barbados,2022-01-31,178
Curacao,2022-01-22,421
Malawi,2022-01-22,1670
Spain,2022-01-01,78737
Comoros,2022-01-02,2025
Seychelles,2022-01-12,347
Spain,2022-02-15,72211
Gibraltar,2022-02-05,68
French Polynesia,2022-01-26,217
Bolivia,2022-01-19,70036
Malaysia,2022-02-14,154981
Cuba,2022-02-04,50908
United States,2022-01-14,1133306
Jordan,2022-01-12,35491
United States,2022-02-02,580955
Georgia,2022-01-22,6741
Low income,2022-02-06,314392
Chad,2022-01-16,2544
Finland,2022-01-20,32017
Scotland,2022-01-04,19513
South Korea,2022-02-03,197895
Uruguay,2022-02-14,6090
Wallis and Futuna,2022-01-05,7
Mozambique,2022-01-04,99879
High income,2022-02-15,3257751
Belarus,2022-01-21,56244
Lebanon,2022-01-15,19299
New Caledonia,2022-02-04,125
Ukraine,2022-02-11,57975
Syria,2022-01-06,53266
Sweden,2022-01-06,28410
Africa,2022-01-08,1992208
Jersey,2022-02-11,93
Greenland,2022-02-12,13
Saudi Arabia,2022-01-04,216550
France,2022-01-20,410680
Azerbaijan,2022-01-01,20378
Comoros,2022-01-11,609
New Zealand,2022-01-20,42727
Malawi,2022-01-10,5029
Low income,2022-01-31,349250
Serbia,2022-01-01,11564
Anguilla,2022-01-11,21
Montserrat,2022-01-26,21
Guernsey,2022-01-14,220
Canada,2022-01-12,369341
Laos,2022-01-31,48048
Bangladesh,2022-02-11,957674
Grenada,2022-01-07,175
Kosovo,2022-01-01,1509
Cambodia,2022-02-10,45859
Cape Verde,2022-01-28,2853
Australia,2022-02-12,175876
Venezuela,2022-02-06,200926
Montenegro,2022-01-02,1323
Wales,2022-01-09,16550
Sri Lanka,2022-01-22,67203
Philippines,2022-02-06,333177
Norway,2022-02-07,14598
Sweden,2022-02-17,33460
Cambodia,2022-01-08,48211
Scotland,2022-01-01,23840
Mali,2022-02-10,
Tanzania,2022-01-08,33124
Iraq,2022-01-12,54489
South Korea,2022-01-07,396791
South Sudan,2022-02-17,
European Union,2022-01-31,1910652
Ukraine,2022-01-29,64292
Anguilla,2022-01-25,29
Bosnia and Herzegovina,2022-01-15,4315
Pakistan,2022-01-19,661267
Sint Maarten (Dutch part),2022-01-22,113
Montserrat,2022-01-08,11
Greenland,2022-01-11,51
Jersey,2022-01-13,404
New Caledonia,2022-01-13,155
Paraguay,2022-02-15,21383
Tonga,2022-01-15,128
