Somalia,2022-02-04,1578
Guernsey,2022-01-08,866
Uganda,2022-01-21,29203
Lower middle income,2022-01-03,12656196
Vietnam,2022-01-30,692956
Zimbabwe,2022-02-17,8448
Poland,2022-02-03,105899
Cape Verde,2022-01-24,2853
Cote d'Ivoire,2022-02-06,65578
Austria,2022-01-02,35485
Thailand,2022-01-07,289208
Colombia,2022-01-02,140688
New Zealand,2022-02-09,50310
Bosnia and Herzegovina,2022-01-23,4315
Myanmar,2022-02-05,92789
Kenya,2022-01-26,64358
Moldova,2022-02-15,5168
South America,2022-01-27,2048431
Saint Vincent and the Grenadines,2022-02-12,159
Kazakhstan,2022-01-18,18226
Syria,2022-01-11,4079
Lithuania,2022-01-12,14139
United States,2022-02-18,255748
Kazakhstan,2022-02-07,16123
Barbados,2022-02-09,152
Kenya,2022-02-03,157289
Botswana,2022-02-08,2733
Senegal,2022-01-31,4472
Saint Kitts and Nevis,2022-02-08,192
Cyprus,2022-02-03,7005
Kiribati,2022-01-15,625
Brunei,2022-01-08,3480
Benin,2022-01-16,16074
Saudi Arabia,2022-01-08,205253
Djibouti,2022-01-15,608
Ireland,2022-01-21,16075
Morocco,2022-01-17,54615
Albania,2022-01-23,5471
Japan,2022-02-09,664395
Guernsey,2022-02-06,82
Guyana,2022-01-23,1883
Somalia,2022-01-14,5028
Indonesia,2022-02-07,1252137
Russia,2022-01-04,332053
Peru,2022-01-20,176650
Saint Kitts and Nevis,2022-02-01,41
France,2022-02-13,188777
Haiti,2022-02-16,453
Lithuania,2022-01-30,5371
Africa,2022-01-25,1932065
Benin,2022-01-11,16074
Democratic Republic of Congo,2022-01-19,1688
Iran,2022-01-23,381031
Belize,2022-01-05,338
Haiti,2022-01-27,1878
Taiwan,2022-01-11,71320
Ireland,2022-02-11,8308
Mozambique,2022-01-01,102990
Asia,2022-01-17,20702932
Jordan,2022-02-02,15005
Dominican Republic,2022-01-12,16453
Hungary,2022-01-14,26012
Iceland,2022-02-04,2054
Montenegro,2022-02-17,332
Thailand,2022-02-06,255520
Paraguay,2022-01-14,27583
Maldives,2022-01-03,329
Ireland,2022-01-01,26810
Poland,2022-01-21,162504
Maldives,2022-02-06,2727
Mexico,2022-01-15,565105
Vanuatu,2022-01-10,736
Brunei,2022-01-12,3371
Belize,2022-01-24,723
Faeroe Islands,2022-02-08,48
Zambia,2022-01-03,22930
Saint Kitts and Nevis,2022-01-24,43
Malta,2022-01-10,7570
Cyprus,2022-01-21,4660
Fiji,2022-02-02,247
Malaysia,2022-02-17,154533
Myanmar,2022-01-15,182162
Venezuela,2022-01-26,126261
San Marino,2022-01-10,145
Kazakhstan,2022-01-09,7255
Argentina,2022-01-14,414272
Brunei,2022-01-04,4724
Syria,2022-02-06,2829
Haiti,2022-01-15,251
Fiji,2022-01-10,345
Philippines,2022-01-13,775542
Iran,2022-01-25,384011
Malaysia,2022-02-08,92904
Indonesia,2022-01-12,1252137
Zambia,2022-01-13,28144
Bermuda,2022-02-16,119
Croatia,2022-01-18,16317
Slovakia,2022-01-21,15091
Poland,2022-01-23,158994
Bangladesh,2022-02-03,957674
Anguilla,2022-01-01,21
Cook Islands,2022-02-02,6
Samoa,2022-01-22,212
Romania,2022-01-11,29039
Denmark,2022-01-27,16189
Guinea,2022-01-18,157999
Thailand,2022-01-17,463074
Afghanistan,2022-01-31,11299
Azerbaijan,2022-01-30,26701
United Kingdom,2022-02-16,69425
Netherlands,2022-02-12,19594
North America,2022-02-05,1460463
North Macedonia,2022-01-28,1128
England,2022-02-13,56235
Iceland,2022-01-18,3589
Macao,2022-01-20,2561
Cayman Islands,2022-01-16,182
Denmark,2022-01-18,35597
Venezuela,2022-01-31,170695
Cameroon,2022-01-12,254
Colombia,2022-02-09,204031
Kyrgyzstan,2022-01-16,8539
South Africa,2022-01-27,64469
Slovenia,2022-01-01,3843
Tunisia,2022-02-11,7774
Ecuador,2022-01-24,75443
Eswatini,2022-01-08,2103
Croatia,2022-01-13,18540
Romania,2022-02-08,12879
Lithuania,2022-02-17,981
Singapore,2022-01-24,35686
Iraq,2022-02-12,40689
Belgium,2022-01-14,113940
Yemen,2022-02-05,2116
Turkey,2022-01-17,382790
Saint Kitts and Nevis,2022-01-04,63
Ghana,2022-01-10,59476
Malaysia,2022-02-13,150791
Guernsey,2022-01-16,177
Malta,2022-01-12,6619
Papua New Guinea,2022-01-04,459
Singapore,2022-01-25,34450
Guernsey,2022-02-01,65
Peru,2022-01-10,289644
Poland,2022-01-08,170043
Samoa,2022-01-29,362
Laos,2022-01-19,37150
Uzbekistan,2022-01-05,63577
Iraq,2022-01-10,46020
Brunei,2022-01-18,2969
Egypt,2022-02-01,257447
Slovenia,2022-01-15,8986
Slovakia,2022-01-01,25849
Serbia,2022-01-23,4769
Saudi Arabia,2022-02-10,155374
Jordan,2022-02-09,15782
India,2022-01-15,8233019
France,2022-01-28,268268
Laos,2022-02-11,48048
Sri Lanka,2022-02-01,80727
Solomon Islands,2022-01-09,737
San Marino,2022-01-11,159
Zambia,2022-02-20,18044
Austria,2022-01-06,40695
Low income,2022-01-16,455067
Slovenia,2022-01-24,2947
Egypt,2022-01-16,330402
Dominica,2022-02-08,40
Bahamas,2022-01-07,629
Qatar,2022-01-27,26784
Mongolia,2022-01-26,3249
Uzbekistan,2022-02-03,59371
Peru,2022-01-22,152482
Denmark,2022-01-22,26714
Zimbabwe,2022-02-10,9196
Trinidad and Tobago,2022-01-18,2391
Aruba,2022-01-31,54
Gibraltar,2022-01-31,83
Benin,2022-01-27,14887
Cyprus,2022-01-09,3483
Haiti,2022-01-09,251
Kenya,2022-02-16,224478
Austria,2022-01-16,43591
New Caledonia,2022-02-11,130
Pakistan,2022-01-19,661267
Sudan,2022-01-14,8915
Uganda,2022-02-03,148503
South Sudan,2022-01-25,2758
Tajikistan,2022-01-29,43589
Macao,2022-01-14,2495
San Marino,2022-01-29,248
Hungary,2022-02-01,22101
Qatar,2022-02-16,18015
Zambia,2022-01-21,26534
Turkey,2022-02-18,126323
Palestine,2022-01-16,430
Turks and Caicos Islands,2022-01-06,122
Bahamas,2022-02-10,319
Taiwan,2022-01-24,382861
Ethiopia,2022-02-03,321
England,2022-01-16,134444
Ukraine,2022-02-13,58327
Nepal,2022-02-13,225146
Slovenia,2022-02-18,1482
Nauru,2022-01-08,0
Afghanistan,2022-01-14,13458
Sri Lanka,2022-01-23,64861
Philippines,2022-02-05,355789
Faeroe Islands,2022-01-11,431
Malawi,2022-02-10,1067
Gabon,2022-01-18,3178
South Sudan,2022-01-11,970
Uganda,2022-01-05,136612
Hong Kong,2022-01-23,39459
Anguilla,2022-01-06,21
Aruba,2022-01-01,61
El Salvador,2022-01-03,7051
Lower middle income,2022-01-10,17899977
Afghanistan,2022-01-21,8355
United States,2022-01-13,1157708
Angola,2022-01-09,68018
Ecuador,2022-02-16,75069
Moldova,2022-01-11,3872
Kuwait,2022-01-16,12759
Mongolia,2022-02-20,814
Cayman Islands,2022-01-30,110
Spain,2022-02-11,96253
Montenegro,2022-02-14,369
Moldova,2022-01-13,5288
Cape Verde,2022-01-30,2853
Namibia,2022-01-13,908
Haiti,2022-02-15,453
British Virgin Islands,2022-01-10,17
Gambia,2022-01-14,2299
Iraq,2022-01-21,49105
Low income,2022-01-22,1054460
Cyprus,2022-01-18,5482
Ethiopia,2022-01-02,11958
Cape Verde,2022-02-06,2521
Mali,2022-01-16,11722
Germany,2022-02-01,320942
England,2022-01-23,94221
Austria,2022-01-12,45774
Bahrain,2022-01-24,2976
Croatia,2022-01-23,11820
Greenland,2022-01-14,51
England,2022-02-11,56533
Macao,2022-01-09,1946
Sweden,2022-01-20,73372
Fiji,2022-01-08,358
Japan,2022-01-18,129431
Mauritania,2022-02-11,3513
Kyrgyzstan,2022-01-12,6436
Europe,2022-01-30,2620975
Libya,2022-01-28,10971
Bhutan,2022-01-23,33832
Angola,2022-01-16,114241
Upper middle income,2022-02-05,4730256
New Zealand,2022-01-21,43424
Guinea,2022-01-12,1948
Libya,2022-02-12,10245
Cote d'Ivoire,2022-01-18,10956
Northern Ireland,2022-02-18,2013
Somalia,2022-01-10,5028
Iraq,2022-01-12,54489
Tunisia,2022-02-07,9380
England,2022-02-14,54998
Senegal,2022-01-23,4472
Qatar,2022-01-23,27508
Jamaica,2022-02-09,2250
Faeroe Islands,2022-01-31,117
South Sudan,2022-01-01,810
Europe,2022-01-25,2866344
High income,2022-02-19,2815396
Lithuania,2022-01-08,15751
New Caledonia,2022-02-06,102
Sri Lanka,2022-02-15,52005
Anguilla,2022-01-16,23
Comoros,2022-01-30,2489
Rwanda,2022-01-11,127901
Kosovo,2022-02-02,3411
Chad,2022-01-03,2544
Malawi,2022-02-06,1320
Anguilla,2022-01-20,29
Turkey,2022-01-27,157961
Liechtenstein,2022-01-05,230
France,2022-02-02,231793
Cote d'Ivoire,2022-01-19,10513
Bermuda,2022-01-05,221
Jersey,2022-02-10,97
Cyprus,2022-01-24,3871
Thailand,2022-01-18,456887
Gibraltar,2022-02-01,77
Kazakhstan,2022-02-19,351158
Niger,2022-01-15,6053
Gibraltar,2022-01-09,36
Guinea-Bissau,2022-01-14,143
Greenland,2022-02-04,7
China,2022-01-01,11882143
Romania,2022-02-04,15943
Chad,2022-01-19,1980
Zimbabwe,2022-01-14,14013
United Arab Emirates,2022-02-17,21377
Brazil,2022-02-14,1179698
Mexico,2022-02-16,517553
Vanuatu,2022-01-04,736
Bahamas,2022-02-02,316
South Africa,2022-01-01,24717
Saint Lucia,2022-01-26,76
High income,2022-01-06,5071908
Oceania,2022-02-13,234284
Pakistan,2022-02-04,1090177
Cuba,2022-01-30,78778
Saudi Arabia,2022-01-25,234843
Bangladesh,2022-02-11,957674
Botswana,2022-02-09,2733
Rwanda,2022-01-17,127901
Sweden,2022-01-19,71862
Asia,2022-01-19,19514778
Ghana,2022-02-06,84487
Saint Lucia,2022-02-05,77
Japan,2022-02-18,853570
South America,2022-01-26,1988511
Mauritania,2022-01-26,5239
North America,2022-02-15,1135966
Bermuda,2022-02-13,158
Canada,2022-02-08,153146
Colombia,2022-01-23,247064
Suriname,2022-01-22,203
Qatar,2022-01-15,18577
Morocco,2022-02-07,54986
Burundi,2022-01-26,62
Belarus,2022-01-29,46348
Poland,2022-01-13,191430
Bosnia and Herzegovina,2022-01-08,4315
Greece,2022-01-06,62972
Argentina,2022-01-31,315624
Poland,2022-01-22,167102
Ethiopia,2022-02-09,65
Moldova,2022-01-31,5661
Africa,2022-01-14,1584168
Libya,2022-01-30,10582
South Africa,2022-01-17,69190
Brazil,2022-02-01,1120005
Guinea-Bissau,2022-01-12,118
Togo,2022-01-09,4761
Bahrain,2022-01-06,5713
European Union,2022-02-04,1575852
Azerbaijan,2022-02-03,29835
Japan,2022-02-06,500114
Turks and Caicos Islands,2022-01-04,122
North America,2022-01-23,2134168
Dominica,2022-01-15,40
Georgia,2022-01-07,4822
Hungary,2022-01-06,16864
Moldova,2022-02-17,4519
Palestine,2022-01-07,3012
Cook Islands,2022-02-12,6
New Caledonia,2022-01-15,180
Tajikistan,2022-01-05,51396
Sint Maarten (Dutch part),2022-01-26,83
Upper middle income,2022-01-25,8897134
Wallis and Futuna,2022-01-17,6
Libya,2022-01-20,8986
Canada,2022-01-16,362542
Turkey,2022-01-13,494723
Ethiopia,2022-02-05,226
Syria,2022-01-23,2829
Brazil,2022-01-21,1642430
United Kingdom,2022-01-18,150437
Vietnam,2022-01-18,1063294
Ireland,2022-01-04,31257
Finland,2022-02-03,39803
Jordan,2022-01-10,35491
Curacao,2022-01-15,734
Italy,2022-01-04,462026
Asia,2022-01-28,16899598
Gabon,2022-01-17,3153
Moldova,2022-01-10,3440
Greenland,2022-02-01,9
New Caledonia,2022-01-08,153
Jordan,2022-02-08,15471
Sierra Leone,2022-01-01,1199
Finland,2022-02-05,50250
Guatemala,2022-01-17,92405
Timor,2022-01-05,1033
Poland,2022-01-30,127523
Canada,2022-01-14,365254
Faeroe Islands,2022-02-16,28
Peru,2022-02-05,114105
Asia,2022-01-24,18745735
Iran,2022-02-12,361372
Uruguay,2022-02-01,14594
Argentina,2022-01-29,295203
Niger,2022-01-01,18757
British Virgin Islands,2022-02-05,7
Iraq,2022-02-03,41213
Syria,2022-01-06,53266
Luxembourg,2022-01-10,6078
Bolivia,2022-01-07,99077
Madagascar,2022-01-06,7371
Tajikistan,2022-02-06,42206
Timor,2022-01-12,1194
Argentina,2022-01-23,361840
Netherlands,2022-02-05,31908
India,2022-01-29,4767597
Wales,2022-01-20,7992
Hong Kong,2022-01-13,40339
India,2022-02-13,4575122
China,2022-01-12,6604571
Bolivia,2022-01-04,69380
Lithuania,2022-01-25,6348
Sierra Leone,2022-01-09,1199
Jordan,2022-01-25,19468
High income,2022-02-13,3373534
India,2022-02-11,4732111
Brazil,2022-02-19,1057782
Luxembourg,2022-01-06,4741
Ghana,2022-01-20,180732
Turkey,2022-02-16,142511
Azerbaijan,2022-01-24,20251
New Zealand,2022-01-30,58432
Croatia,2022-01-15,18319
Egypt,2022-01-12,339409
Cayman Islands,2022-02-09,25
North America,2022-02-03,1366214
Saint Kitts and Nevis,2022-01-11,82
Sint Maarten (Dutch part),2022-02-11,59
Romania,2022-01-27,15315
Moldova,2022-02-03,5345
Slovenia,2022-01-29,2647
Suriname,2022-01-06,294
Papua New Guinea,2022-02-02,404
Benin,2022-02-03,14887
Namibia,2022-01-12,908
Singapore,2022-01-11,49495
Bermuda,2022-02-02,284
Egypt,2022-01-05,411966
Isle of Man,2022-01-04,243
France,2022-01-06,451266
Tunisia,2022-01-01,60481
Israel,2022-01-27,11325
Myanmar,2022-01-18,185140
Gambia,2022-02-17,
Netherlands,2022-01-15,163375
Turkey,2022-01-21,247116
Lower middle income,2022-01-07,13407919
Senegal,2022-02-07,41807
Mongolia,2022-02-10,569
Belize,2022-02-15,381
Japan,2022-01-22,168470
Azerbaijan,2022-01-11,26374
Czechia,2022-02-05,22200
United States,2022-02-15,380161
Cambodia,2022-01-06,43673
Iraq,2022-02-08,40689
Nicaragua,2022-01-14,33118
Ghana,2022-01-24,84487
Belgium,2022-01-06,86479
Greenland,2022-01-06,20
Scotland,2022-02-02,7981
Scotland,2022-01-27,9657
