Mauritania,2022-02-17,
Uruguay,2022-01-20,21281
Zimbabwe,2022-01-24,12437
Costa Rica,2022-01-02,19326
Burundi,2022-02-08,70
Venezuela,2022-02-08,171912
Costa Rica,2022-02-08,15607
Cuba,2022-01-27,92128
Australia,2022-01-15,276075
Myanmar,2022-02-11,129887
Scotland,2022-02-13,6294
Cyprus,2022-02-11,2479
Cape Verde,2022-01-27,2853
Hong Kong,2022-02-19,85929
Colombia,2022-01-06,180122
Mozambique,2022-02-01,34393
Nicaragua,2022-01-25,36815
England,2022-02-08,59506
Macao,2022-02-11,1784
Mongolia,2022-01-26,3249
San Marino,2022-01-24,327
Costa Rica,2022-01-03,17650
Bulgaria,2022-02-20,4131
Liechtenstein,2022-01-13,274
Russia,2022-01-17,361670
Asia,2022-01-23,19221716
Sweden,2022-02-12,38977
Rwanda,2022-01-04,127901
Scotland,2022-02-09,5747
Czechia,2022-02-08,18445
Thailand,2022-01-17,463074
New Caledonia,2022-01-24,203
Yemen,2022-02-11,1799
Paraguay,2022-01-12,27785
Bahrain,2022-02-08,2047
Latvia,2022-01-17,8966
San Marino,2022-01-06,162
Pakistan,2022-01-21,629403
Estonia,2022-02-17,1090
Kosovo,2022-01-08,2307
Kenya,2022-01-17,61315
Bosnia and Herzegovina,2022-01-28,4315
Turkey,2022-02-18,126323
Guernsey,2022-01-06,1306
Mongolia,2022-02-12,789
United States,2022-01-25,758528
Malta,2022-01-30,2362
Lithuania,2022-02-10,1610
Iran,2022-02-18,253225
Chad,2022-01-12,2544
Asia,2022-02-03,12315050
Croatia,2022-01-03,11857
Barbados,2022-02-06,139
Haiti,2022-01-02,523
North Macedonia,2022-01-20,1336
Burundi,2022-02-07,69
Uzbekistan,2022-01-05,63577
Tunisia,2022-01-04,46025
Costa Rica,2022-01-13,19029
Latvia,2022-01-05,6018
Liechtenstein,2022-02-12,67
Turkey,2022-01-03,509267
Aruba,2022-01-26,178
Greenland,2022-01-28,14
Brazil,2022-01-07,487356
New Zealand,2022-02-09,50310
Cuba,2022-01-17,172807
New Zealand,2022-01-01,11095
Upper middle income,2022-01-27,9269808
Kazakhstan,2022-01-04,14743
Spain,2022-01-08,178485
Georgia,2022-01-22,6741
Thailand,2022-01-16,472277
Czechia,2022-02-14,12393
Dominica,2022-01-02,152
Belarus,2022-01-01,67398
Slovenia,2022-02-05,3048
Mongolia,2022-01-14,3945
Albania,2022-02-04,16144
