Germany,2022-01-31,350537
San Marino,2022-01-27,280
Kosovo,2022-01-30,4308
Ethiopia,2022-01-19,1272
China,2022-01-26,4601286
Syria,2022-01-09,16376
Pakistan,2022-01-17,728558
Montserrat,2022-01-03,5
Turkey,2022-01-20,283559
Lower middle income,2022-02-19,11848917
Zambia,2022-01-20,29776
Sierra Leone,2022-01-20,32362
Hungary,2022-02-05,14915
Kiribati,2022-01-28,330
Oman,2022-02-02,15242
San Marino,2022-01-03,193
Mauritania,2022-02-01,4508
Jamaica,2022-02-06,2282
Greenland,2022-01-17,51
Low income,2022-01-28,405463
Honduras,2022-02-13,24020
Croatia,2022-01-21,12666
Seychelles,2022-01-14,347
Latvia,2022-01-05,6018
Czechia,2022-02-20,8889
Cyprus,2022-02-05,6868
Angola,2022-01-26,134833
Scotland,2022-01-25,10731
Cameroon,2022-01-10,254
Wales,2022-02-05,3956
Colombia,2022-01-14,249004
Liberia,2022-02-10,1580
Uganda,2022-01-02,136612
Kenya,2022-01-10,67863
Malaysia,2022-01-26,196924
Japan,2022-01-15,124978
Turkey,2022-01-21,247116
Greece,2022-01-01,65701
Chad,2022-01-18,2168
Qatar,2022-02-16,18015
Oman,2022-01-30,16068
Nepal,2022-01-08,218708
Guatemala,2022-01-28,58509
Samoa,2022-01-16,117
United Arab Emirates,2022-02-18,20752
South Korea,2022-01-14,426403
Singapore,2022-01-15,46866
Cape Verde,2022-01-28,2853
World,2022-02-01,22072176
Bahamas,2022-01-11,650
Panama,2022-02-15,13296
Peru,2022-01-11,287910
Tonga,2022-01-04,436
Liechtenstein,2022-01-21,213
Israel,2022-01-14,67303
Dominica,2022-02-10,24
Solomon Islands,2022-01-12,760
Kuwait,2022-01-23,7657
Ukraine,2022-02-19,53178
Hungary,2022-02-12,9358
Central African Republic,2022-02-04,6515
Cuba,2022-02-17,19900
Cambodia,2022-02-16,77343
French Polynesia,2022-02-14,208
United Kingdom,2022-01-15,182280
Germany,2022-01-07,516590
Scotland,2022-01-18,17500
Timor,2022-01-06,1061
Grenada,2022-01-13,186
Switzerland,2022-01-01,44079
South Korea,2022-02-03,197895
South Korea,2022-01-07,396791
Netherlands,2022-02-04,33311
Vanuatu,2022-01-23,736
Scotland,2022-02-17,7613
New Zealand,2022-02-09,50310
Philippines,2022-02-16,410944
Senegal,2022-01-13,4472
Upper middle income,2022-01-17,10326623
Pakistan,2022-01-08,665476
Faeroe Islands,2022-01-05,197
Liechtenstein,2022-02-07,70
