Antigua and Barbuda,2022-01-15,111
Cook Islands,2022-02-08,6
Bolivia,2022-01-28,42161
Ethiopia,2022-01-07,5711
Seychelles,2022-01-17,347
Antigua and Barbuda,2022-01-18,106
England,2022-01-20,105979
Liechtenstein,2022-01-20,233
French Polynesia,2022-01-11,722
Spain,2022-02-13,89754
Nigeria,2022-01-12,250175
Panama,2022-01-04,16881
Bermuda,2022-01-19,66
Israel,2022-01-31,10571
India,2022-01-14,7269519
Belize,2022-02-06,575
Zimbabwe,2022-01-29,9586
Lower middle income,2022-01-17,14217394
Singapore,2022-01-29,32403
Indonesia,2022-01-30,1252137
Scotland,2022-02-04,7149
Isle of Man,2022-02-14,56
Northern Ireland,2022-02-11,2230
Wallis and Futuna,2022-01-18,6
Belgium,2022-02-13,34044
Greece,2022-02-14,33577
Faeroe Islands,2022-01-15,223
Norway,2022-02-07,14598
Lebanon,2022-02-10,9971
Scotland,2022-02-08,5873
Egypt,2022-01-26,259740
Comoros,2022-02-09,1427
Macao,2022-02-06,705
South Sudan,2022-01-20,2307
Saint Kitts and Nevis,2022-01-14,55
Aruba,2022-01-06,49
Romania,2022-02-04,15943
Djibouti,2022-01-27,583
Iran,2022-02-09,447013
Mongolia,2022-01-25,3566
Egypt,2022-01-05,411966
Israel,2022-01-15,63861
Wales,2022-01-10,17438
Jersey,2022-02-03,116
Finland,2022-02-20,7785
Costa Rica,2022-02-13,20143
Mongolia,2022-01-04,2557
Cuba,2022-01-07,67220
Armenia,2022-02-07,4483
Bhutan,2022-02-08,4275
Hungary,2022-01-12,25782
Greenland,2022-02-12,13
Lithuania,2022-01-05,12064
Syria,2022-01-12,4079
Costa Rica,2022-01-29,12494
Czechia,2022-02-01,29802
Hungary,2022-02-03,18508
Brunei,2022-01-21,2709
Equatorial Guinea,2022-01-06,49
Russia,2022-01-22,304067
Belize,2022-02-17,329
Bangladesh,2022-02-13,957674
Curacao,2022-01-11,1483
Albania,2022-01-16,6089
Jersey,2022-01-11,465
Bulgaria,2022-01-21,13625
Spain,2022-01-15,238444
Antigua and Barbuda,2022-01-13,114
Angola,2022-01-25,136353
New Caledonia,2022-01-10,138
Liberia,2022-01-14,1580
Norway,2022-01-14,54386
Qatar,2022-01-19,20251
Pakistan,2022-01-17,728558
Montenegro,2022-02-16,345
New Caledonia,2022-02-14,159
Latvia,2022-01-04,5911
Somalia,2022-01-09,5028
Australia,2022-01-29,232428
Oman,2022-02-03,14829
Namibia,2022-01-03,389
South Sudan,2022-01-05,810
United Arab Emirates,2022-01-14,26977
Portugal,2022-01-17,81069
Mali,2022-01-12,49989
Timor,2022-02-08,569
Colombia,2022-01-03,141930
British Virgin Islands,2022-01-31,7
