Bulgaria,2022-02-13,5651
Estonia,2022-01-04,3109
Asia,2022-02-08,12295126
Kosovo,2022-01-30,4308
Indonesia,2022-01-04,1483946
Mongolia,2022-02-16,948
Uganda,2022-01-26,33399
Kosovo,2022-01-04,1546
United Kingdom,2022-01-24,114952
European Union,2022-02-09,1275916
Australia,2022-02-11,178660
Iran,2022-01-28,391581
Australia,2022-02-01,211486
Czechia,2022-01-20,49821
Italy,2022-01-04,462026
Jersey,2022-02-04,115
North Macedonia,2022-02-03,1037
Djibouti,2022-01-30,530
Faeroe Islands,2022-01-04,252
Croatia,2022-02-01,6541
Romania,2022-02-13,9484
Brunei,2022-01-18,2969
Eswatini,2022-02-11,949
Mali,2022-01-22,
Uganda,2022-01-25,32000
Thailand,2022-01-20,448570
Wales,2022-02-12,3192
England,2022-01-07,181342
United States,2022-01-11,1202542
Maldives,2022-01-26,2825
Canada,2022-01-06,277600
Iraq,2022-01-03,35970
Niger,2022-01-31,972
England,2022-02-18,48481
Timor,2022-01-11,1200
Romania,2022-02-14,9135
El Salvador,2022-01-28,9884
Iraq,2022-01-06,36325
Saudi Arabia,2022-01-02,223118
Costa Rica,2022-02-12,19236
Japan,2022-01-11,140648
Zambia,2022-02-07,15274
Canada,2022-01-01,237805
Burundi,2022-01-17,53
Faeroe Islands,2022-02-03,87
Liechtenstein,2022-02-06,100
French Polynesia,2022-01-28,217
Sri Lanka,2022-02-14,54082
Saint Lucia,2022-01-11,121
Kosovo,2022-01-18,3566
England,2022-02-09,58260
Cyprus,2022-02-13,2385
Brazil,2022-02-19,1057782
European Union,2022-01-10,3178619
Angola,2022-02-06,76695
Eswatini,2022-02-08,949
Colombia,2022-01-14,249004
Guyana,2022-01-13,2051
Saint Vincent and the Grenadines,2022-02-07,226
El Salvador,2022-02-15,6583
Bahamas,2022-01-03,618
Thailand,2022-02-06,255520
Togo,2022-01-12,4817
Pakistan,2022-02-06,1407925
Nigeria,2022-01-17,216419
Cambodia,2022-01-09,50624
High income,2022-01-06,5071908
Faeroe Islands,2022-01-23,198
Togo,2022-01-01,5110
Africa,2022-02-12,1832913
Luxembourg,2022-02-09,2148
Morocco,2022-02-06,57272
Isle of Man,2022-01-27,124
Haiti,2022-01-30,2150
Senegal,2022-01-27,4472
Vanuatu,2022-02-03,399
Democratic Republic of Congo,2022-02-07,5476
Estonia,2022-02-06,1831
World,2022-02-02,21070281
Africa,2022-01-27,1830431
Curacao,2022-01-05,1068
Indonesia,2022-01-18,1252137
South Africa,2022-01-21,64953
Isle of Man,2022-01-05,340
Botswana,2022-01-31,2733
Guyana,2022-01-10,2051
Denmark,2022-01-25,19966
Tanzania,2022-01-07,33124
Wales,2022-01-05,14671
Equatorial Guinea,2022-01-11,120
Liberia,2022-02-04,1580
Vietnam,2022-02-09,352956
New Zealand,2022-02-11,51583
Lebanon,2022-02-05,12860
Czechia,2022-02-10,15502
Guyana,2022-01-28,2094
Qatar,2022-01-10,13324
Indonesia,2022-01-01,1344493
Eswatini,2022-01-06,1711
Belgium,2022-01-11,125701
Libya,2022-01-30,10582
Northern Ireland,2022-01-13,6976
United Arab Emirates,2022-01-08,29997
Zimbabwe,2022-02-05,10108
Tajikistan,2022-01-06,54820
Greenland,2022-01-07,26
Mexico,2022-01-14,541254
Bhutan,2022-02-06,3110
Moldova,2022-01-19,4937
Samoa,2022-01-19,158
Turkey,2022-01-08,581065
Argentina,2022-02-06,265151
Canada,2022-02-19,84474
Libya,2022-01-18,9830
Jordan,2022-02-03,14966
Barbados,2022-01-28,193
Macao,2022-02-02,1239
British Virgin Islands,2022-01-12,20
Libya,2022-01-04,8911
Qatar,2022-02-02,26507
Curacao,2022-02-09,192
Saint Lucia,2022-01-29,58
Argentina,2022-02-12,246655
Papua New Guinea,2022-01-14,432
Isle of Man,2022-02-14,56
Mali,2022-02-06,
Burundi,2022-01-13,41
Australia,2022-01-23,282247
Saudi Arabia,2022-01-13,188452
North Macedonia,2022-02-09,955
Antigua and Barbuda,2022-02-01,30
Italy,2022-01-28,511557
Turkey,2022-02-08,161766
Cook Islands,2022-02-05,6
Luxembourg,2022-01-13,6538
Panama,2022-02-12,14149
Turks and Caicos Islands,2022-01-14,122
Denmark,2022-01-30,12415
Norway,2022-01-02,16238
Moldova,2022-01-14,5806
Taiwan,2022-02-06,35525
Bolivia,2022-02-06,35038
Asia,2022-01-15,25127260
Europe,2022-01-08,3790877
Fiji,2022-02-05,233
Taiwan,2022-01-16,295572
Senegal,2022-01-15,4472
Nicaragua,2022-01-03,25239
New Caledonia,2022-01-14,167
Panama,2022-02-04,15698
Syria,2022-02-11,2829
Tajikistan,2022-01-27,37340
Mexico,2022-01-17,585596
Pakistan,2022-01-20,661152
Taiwan,2022-01-11,71320
Cyprus,2022-01-04,3393
Ukraine,2022-02-09,58741
Timor,2022-01-02,1006
Afghanistan,2022-01-13,14893
Maldives,2022-02-11,2880
Tunisia,2022-02-07,9380
Mozambique,2022-01-04,99879
Kenya,2022-01-16,66556
Iceland,2022-02-08,1926
Papua New Guinea,2022-01-23,693
Guernsey,2022-01-29,71
Pakistan,2022-02-11,2032606
Guatemala,2022-01-11,80952
Lithuania,2022-01-23,7170
Lithuania,2022-01-01,12895
Jamaica,2022-02-11,2035
Jamaica,2022-01-22,3322
Sint Maarten (Dutch part),2022-01-19,341
Uruguay,2022-01-22,19997
Sao Tome and Principe,2022-01-11,384
Serbia,2022-02-16,2078
Yemen,2022-02-02,2199
Israel,2022-01-07,52952
Antigua and Barbuda,2022-01-08,57
Mexico,2022-01-30,723325
Sweden,2022-02-02,61483
Curacao,2022-01-19,508
Costa Rica,2022-01-19,16316
Greece,2022-01-17,75207
European Union,2022-01-27,2098584
Greece,2022-02-12,34739
Azerbaijan,2022-02-05,30751
Algeria,2022-01-30,16222
Africa,2022-01-21,2365505
Low income,2022-02-20,979623
Kenya,2022-01-12,74485
Latvia,2022-02-03,4224
Botswana,2022-01-29,2733
Djibouti,2022-02-02,325
Timor,2022-02-01,696
Sri Lanka,2022-01-08,35017
Mauritania,2022-01-07,41624
Egypt,2022-01-12,339409
Syria,2022-01-28,2829
Georgia,2022-02-05,6467
Bolivia,2022-02-17,28296
Nepal,2022-01-12,221708
British Virgin Islands,2022-01-07,11
Jamaica,2022-01-25,3282
Djibouti,2022-01-23,568
China,2022-01-08,7558429
Malawi,2022-01-06,7609
Bangladesh,2022-02-01,1022933
Greece,2022-01-19,71064
Netherlands,2022-01-24,60226
Haiti,2022-02-10,453
Belarus,2022-01-21,56244
Afghanistan,2022-01-11,15680
Sudan,2022-01-13,8915
Mali,2022-02-01,
Guinea-Bissau,2022-01-08,62
South Korea,2022-02-02,191673
Lebanon,2022-01-12,28195
Georgia,2022-01-10,6481
Upper middle income,2022-01-25,8897134
High income,2022-01-18,6304243
