Argentina,2022-02-05,302652
Sierra Leone,2022-01-03,1199
Kiribati,2022-01-26,330
Liechtenstein,2022-01-28,36
Ukraine,2022-02-03,60356
Egypt,2022-02-02,267634
Italy,2022-01-04,462026
Portugal,2022-01-25,84790
Finland,2022-02-01,46440
Japan,2022-01-01,132119
Kosovo,2022-01-07,2029
Slovakia,2022-02-08,4056
Wales,2022-01-02,21691
Kazakhstan,2022-01-22,18755
Thailand,2022-02-17,232738
Azerbaijan,2022-01-21,20648
Sri Lanka,2022-01-27,65352
Iceland,2022-02-13,860
Ukraine,2022-02-20,52926
Bahamas,2022-01-24,434
Nepal,2022-02-13,225146
Mauritania,2022-01-21,5875
Jamaica,2022-01-24,3525
Spain,2022-01-23,229432
Sierra Leone,2022-01-09,1199
Kuwait,2022-01-19,9132
Scotland,2022-01-29,8949
Malawi,2022-01-27,1223
Malaysia,2022-01-25,205629
Myanmar,2022-02-03,105117
European Union,2022-02-10,1228383
Estonia,2022-02-08,1590
Vanuatu,2022-01-03,736
Nauru,2022-01-16,0
Cambodia,2022-01-26,106755
Belize,2022-01-13,755
Kuwait,2022-01-04,14965
Lower middle income,2022-01-26,12352525
Russia,2022-02-09,266485
United Arab Emirates,2022-01-02,27043
Africa,2022-02-02,1276222
Hungary,2022-01-25,25174
Estonia,2022-01-01,3677
Hungary,2022-01-22,25664
Egypt,2022-01-07,386968
Mongolia,2022-01-15,4190
Egypt,2022-02-17,
Germany,2022-01-09,590582
Eswatini,2022-01-09,2041
Morocco,2022-01-20,58822
Burkina Faso,2022-02-17,
Iran,2022-02-02,490461
Faeroe Islands,2022-01-27,152
Estonia,2022-01-14,4605
Upper middle income,2022-01-11,11243097
South Korea,2022-01-14,426403
Iraq,2022-01-28,43895
Saint Vincent and the Grenadines,2022-02-02,193
Bolivia,2022-01-18,71776
South America,2022-01-25,2135753
Cambodia,2022-01-27,99300
Kyrgyzstan,2022-01-07,4240
Turkey,2022-01-16,421307
France,2022-02-16,172471
Niger,2022-01-10,18757
Cambodia,2022-02-08,41568
Liechtenstein,2022-02-04,84
Canada,2022-02-08,153146
Yemen,2022-01-23,4240
Singapore,2022-02-05,20776
Andorra,2022-01-23,682
Ghana,2022-01-15,114744
Taiwan,2022-01-23,391494
Nepal,2022-01-20,219924
Guinea-Bissau,2022-02-11,9422
Chad,2022-02-03,1247
Saudi Arabia,2022-01-18,180963
Maldives,2022-01-08,262
Togo,2022-01-07,4723
Saudi Arabia,2022-02-13,134610
European Union,2022-01-18,2963268
Qatar,2022-02-12,16196
Guyana,2022-02-08,1651
Guyana,2022-01-06,1702
Laos,2022-02-07,48048
Northern Ireland,2022-01-08,6921
Mali,2022-01-01,5318
Cuba,2022-01-10,129719
Tajikistan,2022-01-07,58244
Peru,2022-02-16,83738
Bahrain,2022-01-06,5713
Equatorial Guinea,2022-01-01,49
Jamaica,2022-01-28,2429
Belgium,2022-01-23,70553
Djibouti,2022-02-02,325
Zimbabwe,2022-02-20,9447
Mexico,2022-02-06,583427
Albania,2022-01-17,5976
Gibraltar,2022-01-24,121
Bolivia,2022-02-10,30751
Europe,2022-02-05,2076123
European Union,2022-02-11,1180219
Lithuania,2022-02-20,892
Ecuador,2022-01-12,106618
Turks and Caicos Islands,2022-02-02,122
Tajikistan,2022-01-10,65092
Hungary,2022-02-19,
South America,2022-01-16,2252042
Austria,2022-01-29,27953
Nauru,2022-01-05,1
Guatemala,2022-02-01,53857
Saudi Arabia,2022-02-14,129475
Cuba,2022-01-13,172873
Grenada,2022-01-23,125
Cyprus,2022-01-27,3434
Hungary,2022-02-05,14915
Suriname,2022-01-17,253
British Virgin Islands,2022-02-04,8
New Caledonia,2022-01-19,215
Uruguay,2022-02-05,10917
Bermuda,2022-01-13,132
Guinea-Bissau,2022-01-03,93
Gambia,2022-01-12,2299
Germany,2022-01-19,575512
France,2022-02-03,223291
Greece,2022-01-24,60801
Azerbaijan,2022-02-11,34401
Namibia,2022-02-02,846
Moldova,2022-02-05,5380
Finland,2022-01-31,51589
Japan,2022-02-17,818857
Somalia,2022-01-27,1578
Czechia,2022-01-26,35548
Germany,2022-02-14,181675
Nepal,2022-01-10,218504
Kyrgyzstan,2022-01-28,8971
Singapore,2022-02-06,22014
Czechia,2022-02-12,13292
Vietnam,2022-02-13,471957
Canada,2022-01-28,260372
Cook Islands,2022-02-06,6
Uzbekistan,2022-01-14,85370
Netherlands,2022-02-19,5220
Zimbabwe,2022-01-26,10929
Zimbabwe,2022-02-01,9276
Africa,2022-01-21,2365505
Cook Islands,2022-02-08,6
Sri Lanka,2022-02-06,122864
Mauritania,2022-01-24,5532
British Virgin Islands,2022-02-01,7
Ethiopia,2022-01-18,1157
Bahamas,2022-01-23,434
France,2022-02-01,237906
Oman,2022-01-24,16068
Isle of Man,2022-02-13,57
Poland,2022-01-23,158994
Nepal,2022-01-25,222412
Uruguay,2022-02-03,11796
New Zealand,2022-02-07,46996
Asia,2022-01-10,25879761
Solomon Islands,2022-01-28,1092
Low income,2022-01-12,934502
Malawi,2022-01-07,4813
French Polynesia,2022-01-17,722
Gibraltar,2022-01-20,127
Macao,2022-02-07,799
Europe,2022-01-09,3754646
Papua New Guinea,2022-01-04,459
Rwanda,2022-01-07,127901
Ethiopia,2022-02-02,337
Burundi,2022-02-02,62
Comoros,2022-01-28,1236
Portugal,2022-02-16,55591
Albania,2022-01-21,5471
Kenya,2022-01-02,77129
Saint Lucia,2022-02-13,74
Cook Islands,2022-02-07,6
United Arab Emirates,2022-01-14,26977
Cyprus,2022-01-10,3573
North America,2022-02-09,1274751
Bahamas,2022-01-20,434
Democratic Republic of Congo,2022-02-02,6010
Solomon Islands,2022-01-20,891
Qatar,2022-02-19,18081
Guinea-Bissau,2022-01-15,142
Kenya,2022-01-26,64358
Grenada,2022-01-29,111
Zimbabwe,2022-01-21,12685
Sint Maarten (Dutch part),2022-01-17,561
South America,2022-02-17,1840051
Uruguay,2022-01-03,4123
Colombia,2022-01-26,238065
Belize,2022-02-05,593
Bulgaria,2022-01-15,21922
Mauritania,2022-01-08,24178
Taiwan,2022-01-09,72807
Canada,2022-02-01,231489
Portugal,2022-01-02,46584
Eswatini,2022-01-26,2521
Nigeria,2022-01-18,244669
New Zealand,2022-01-18,41523
China,2022-01-17,5210429
Costa Rica,2022-01-16,18547
Bolivia,2022-01-17,74265
Luxembourg,2022-02-02,2749
Curacao,2022-01-05,1068
Ukraine,2022-01-29,64292
Somalia,2022-01-23,1578
Lower middle income,2022-01-16,17752814
Bermuda,2022-01-18,79
Kuwait,2022-01-05,14965
Zambia,2022-02-07,15274
Lithuania,2022-01-17,10319
Honduras,2022-01-28,21412
Chile,2022-01-17,78545
Indonesia,2022-01-30,1252137
Sri Lanka,2022-02-03,99917
Antigua and Barbuda,2022-01-21,103
Jordan,2022-01-17,35491
Chile,2022-01-14,85634
Sweden,2022-01-06,28410
Guinea-Bissau,2022-02-01,1702
Finland,2022-02-16,10378
Venezuela,2022-01-28,126261
Greenland,2022-01-25,31
Albania,2022-01-31,11055
Qatar,2022-01-16,16347
Sweden,2022-01-29,67935
Grenada,2022-02-03,87
Venezuela,2022-01-10,126261
Guinea,2022-01-26,18767
Wales,2022-02-09,3377
Macao,2022-01-14,2495
Mauritania,2022-01-02,68628
Ireland,2022-02-12,8465
Myanmar,2022-01-29,135935
Lesotho,2022-02-17,
Moldova,2022-01-10,3440
Northern Ireland,2022-01-15,7079
Haiti,2022-02-14,453
Japan,2022-02-16,751977
Philippines,2022-01-14,782783
Papua New Guinea,2022-02-10,865
Liechtenstein,2022-01-18,263
United Arab Emirates,2022-01-20,29224
Jamaica,2022-01-30,2808
Colombia,2022-02-17,205990
United Kingdom,2022-01-17,159736
European Union,2022-01-09,3151391
Liberia,2022-01-27,1580
Estonia,2022-01-17,4585
Estonia,2022-01-02,3776
Namibia,2022-01-17,908
India,2022-01-24,6793794
Lower middle income,2022-01-09,14687109
Greenland,2022-01-23,42
Haiti,2022-01-19,251
United Kingdom,2022-01-12,234520
Liechtenstein,2022-01-02,9
